							HELLO LINK - 11.9.2024	688.00	HELLO LINK - 11.10.2024				DESITE CREATION NT - 23.10.2024	150.00	BILLERT GROUP - 11th	165.00	BILLERT GROUP - 11th																				
							DR LEATHERSPA - 12.9.2024	250.00	DR LEATHERSPA - 27.10.2024				DESITE CREATION selinaloh - 6.12	150.00	BILLERT GROUP - 21st	165.00	BILLERT GROUP - 21st																				
							ZAHIN TRAVEL (CSD) - 18.9	2,500.00	FIRST PRINT - 10.10.2024				BILLERT GROUP - 11.10	165.00	Alist - 18th	788.00	Alist - 5th		Alist - 5th	788.00	Alist - 5th	788.00	Alist - 5th	788.00	Alist - 5th	788.00	Alist - 5th	581.60			Alist - 5th	788.00					
							DESITE CREATION - DM AI - 19.9	700.00	ZAHIN TRAVEL (CSD) - 18.10	1,250.00	ZAHIN TRAVEL (CSD) - 18.10	1,250.00	BILLERT GROUP - 21.10	165.00	DC - DM AI -WHITELABEL 4th	450.00	DC - DM AI -WHITELABEL 4th	450.00	DC - DM AI -WHITELABEL 4th	450.00	DC - DM AI -WHITELABEL 4th	450.00	DC - DM AI -WHITELABEL 4th														
									DESITE CREATION - Omniyal - 14.10	150.00	DESITE CREATION - Omniyal - 14.10		Alist - 18.10	788.00	Eduville - 8th	688.00	Eduville - 8th		Eduville - 8th		Eduville - 8th		Eduville - 8th														
							DESITE CREATION - WHITELABEL	300.00	DESITE CREATION DM AI- 19.10	150.00	DESITE CREATION DM AI- 19.10	150.00	DESITE CREATION - DM AI -WHITELABEL 4.10	450.00	ZAQHWAN 26. 11	50.00	ZAQHWAN 26. 11		ZAQHWAN 26. 11	50.00	ZAQHWAN 26. 11		ZAQHWAN 26. 11														
							MAHA ASIA -22.9,2024	688.00	DESITE CREATION NT - 23.10.2024	550.00	DESITE CREATION NT - 23.10.2024	550.00	Eduville - 8.10.2024	688.00	DC Whitelabel Maintenance 25th	50.00	DC Whitelabel Maintenance 25th	50.00	DC Whitelabel Maintenance 25th	50.00	DC Whitelabel Maintenance 25th	50.00	DC Whitelabel Maintenance 25th	50.00	DC Whitelabel Maintenance 25th	50.00	DC Whitelabel Maintenance 25th	50.00	DC Whitelabel Maintenance 25th	50.00	DC Whitelabel Maintenance 25th	50.00					
													Kabinku - 9.10	150.00	Dc used car - 29th	168.00	Dc used car - 29th	168.00	Dc used car - 29th	168.00	Dc used car - 29th	168.00	Dc used car - 29th	168.00	Dc used car - 29th	168.00	Dc used car - 29th										
											DESITE CREATION AI play agent- 6.11	150.00	SS Power Automobile 19.11.2024		Pixel Byte								DC - Omniyal	150.00													
							BILLERT GROUP - 21.10	165.00	BILLERT GROUP - 21.10	165.00	BILLERT GROUP - 11.10	165.00	DESITE CREATION - kuatboxmedia 28.11.2024	150.00	DC aiplay888 - 27th	150.00	DC aiplay888 - 27th	150.00	DC aiplay888 - 27th	150.00	DC aiplay888 - 27th		DC aiplay888 - 27th		DC aiplay888 - 27th		DC aiplay888 - 27th		DC aiplay888 - 27th		DC aiplay888 - 27th						
							DESITE CREATION - New Town - 25.9.2024	550.00	BILLERT GROUP - 21.10	165.00	BILLERT GROUP - 21.10	165.00	ZAQHWAN 21. 11	50.00	Gamuda Print																						
							DESITE CREATION - FTM -23.9.24	150.00	MAHA ASIA - 5.11.2024						FitPropella								BCC	6,500.00													
									Alist	688.00	Alist - 18.10	738.00			DC yaralinlin@outlook.com - 8.12.2024	150.00																					
							DESITE CREATION - ICROWN 27.9.2024	150.00	Muhibbah				Dc used car - 29	168.00	Constant Co - 10th																						
									Katin Life	200.00			Pixel Byte	243.00	Dinkebun - 19th																						
									Solutdeck				DESITE CREATION aiplaymanagement88 - 27.12.2024	150.00																							
													DESITE CREATION aiplay888 - 27.12.2024	150.00	Revotrend - 19th	288.00	Revotrend - 19th	288.00	Revotrend - 19th	288.00	Revotrend - 19th	288.00	Revotrend - 19th	288.00	Revotrend - 19th	288.00	Revotrend - 19th	288.00	Revotrend - 19th		Revotrend - 19th						
													DESITE CREATION mikochin13 - 27.12.2024	150.00	Mata Sight - 26th		Mata Sight - 26th	168.00	Mata Sight - 26th	168.00	Mata Sight - 26th	168.00	Mata Sight - 26th	168.00	Mata Sight - 30th		Mata Sight - 30th		Mata Sight - 30th		Mata Sight - 30th						
									Edward - 3.10.2024	150.00	Edward - 3.10.2024		Rasniaga - 15.12	688.00	Nour Eye -25th		Nour Eye -25th																				
									DESITE CREATION - DM AI -WHITELABEL 4.10	600.00	DESITE CREATION - DM AI -WHITELABEL 4.10	450.00	Gamuda Print - 11/12/2024	168.00	Finesse Clinic - 28th	218.00	Finesse Clinic - 28th	218.00	Finesse Clinic - 28th	218.00	Finesse Clinic - 28th	218.00	Finesse Clinic - 28th	218.00	Finesse Clinic - 28th	218.00	Finesse Clinic - 28th	218.00	Finesse Clinic - 28th	218.00	Finesse Clinic - 28th	218.00					
									Eduville - 8.10.2024	688.00	Eduville - 8.10.2024	688.00	FitPropella	688.00	Kyra Beauty - 28th	100.00	Kyra Beauty - 28th	100.00	Kyra Beauty - 28th	100.00	Kyra Beauty - 28th	100.00	Kyra Beauty - 28th	100.00			Kyra Beauty - 28th		Kyra Beauty - 28th		Kyra Beauty - 28th						
									Hartaland -8.10.2024	688.00			DESITE CREATION yaralinlin@outlook.com - 8.12.2024	150.00	SKC - 3 months - 3rd	810.90																					
									Kabinku - 9.10	150.00	Kabinku - 9.10	150.00	Constant Co	168.00																							
													Dinkebun	168.00	SKC - 3 Months From Jan Unlimited Plan + Google Sheets - 3rd	1,820.00					SKC - 6hb 3 MONTHS	1,830.90	SKC - 6hb 3 MONTHS		SKC - 6hb 3 MONTHS		SKC - 6hb 3 MONTHS	1,830.90	SKC - 6hb 3 MONTHS		SKC - 6hb 3 MONTHS						
									Rasniaga	688.00			Barokah Aircond	168.00	CNB APP +	500.00																					
									Ariffaz Creative Team Inbox - OCT 25	1,440.00			DESITE CREATION - Omniyal - 20.12	150.00					CNB APP	3,500.00					CNB APP - Till January 2025	1,792.00	CNB APP		CNB APP		CNB APP						
									SS Power Automobile	688.00	SS Power Automobile 19.11.2024	619.20	BINA - 11.12.2024	688.00	ZAQHWAN 2 - 10th	50.00	ZAQHWAN 2 - 10th	50.00	ZAQHWAN 2 - 10th	50.00																	
									Ariffaz Creative AI	538.00	Ariffaz Creative AI		Revotrend - 19	288.00	DC - Gown - 10th	150.00	DC - Gown - 10th	150.00	DC - Gown - 10th	150.00	DC - Gown - 10th	150.00	DC - Gown - 10th	150.00	DC - Gown - 10th	150.00	DC - Gown - 10th		DC - Gown - 10th		DC - Gown - 10th						
									Hartaland -.	350.00			Revotrend Form 2	1,125.00	Nour Eye - Adel -15th	718.00	Nour Eye - Adel -15th	718.00	Nour Eye - Adel -15th		Nour Eye - Adel -15th																
									DESITE CREATION - DM MIKO 28.11.2024	150.00	DESITE CREATION - DM MIKO 28.11.2024	150.00	Mata Sight	168.00	Wesmile	318.00	Wesmile		BookingCarCare	3,000.00																	
									ZAQHWAN	50.00	ZAQHWAN 26. 11	50.00	Nour Eye	218.00																							
									BINA - Token of appreciation 	300.00					Nour Eye - Dental	318.00			Nour Eye - Dental		Nour Eye - Dental																
											CNB APP	3,500.00	Booking Care	9,500.00	Barokah Aircond		Nour Eye - Dental																				
											Trading indicator	1,500.00	Finesse Clinic	218.00	BHQ 2 - 10th	168.00	Mata Sight - 26th	168.00	BHQ 2 - 10th	168.00	BHQ 2 - 10th	168.00	BHQ 2 - 10th	168.00	BHQ 2 - 10th	168.00	BHQ 2 - 10th		BHQ 2 - 10th		BHQ 2 - 10th	168.00					
											Revotrend - 11	288.00	DESITE CREATION Whitelabel Phase 3 	200.00	LG agent - 20th	318.00	BHQ 2 - 10th	168.00	LG agent - 20th		LG agent - 20th																
													DESITE CREATION Whitelabel Maintenance Sept - Dec	200.00	LKSSB - 3 Months From Jan - 20th	1,857.60	LG agent - 20th	286.20	DESITE CREATION		DESITE CREATION		DESITE CREATION														
											Revotrend Form	1,125.00	Kyra Beauty	100.00	Rasniaga - 15.12	688.00	Rasniaga - 15.12																				
													DESITE CREATION - 9 accounts 7 extra numbers	4,500.00	BINA - 11.1.2025	688.00			Alexander	718.00	Alexander - 5th	718.00	Alexander - 5th														
													DESITE CREATION yaralinlin 7 extra numbers - 8.12.2024	350.00			Alexander	718.00	Ezyparts																		
																	Ezyparts	318.00	MJBI - 4th	718.00	MJBI - 8hb	718.00	MJBI - 8hb	718.00	MJBI - 23hb	718.00	MJBI - 23hb	718.00	MJBI - 23hb		MJBI - 23hb	718.00					
																	MJBI	718.00	Nour Eye. - Adel 2 - 4th Feb																		
																	Nour Eye. - Adel 2 - 4th Feb	718.00	Nour Eye. - Adel 2 (Add Number) - 4th Feb																		
																	Nour Eye. - Adel 2 (Add Number) - 4th Feb	100.00	Nour Eye. - Adel (Add Number) - 4th Feb																		
																	Nour Eye. - Adel (Add Number) - 4th Feb	100.00	Bestari - 6th	318.00	Bestari - 6th	318.00	Bestari - 6th	318.00	Bestari - 6th	318.00	Bestari - 6th	318.00	Bestari - 6th	318.00	Bestari - 6th	318.00					
																	Bestari - 6th	318.00	ROBIN - WhiteLabel	500.00	ROBIN - WhiteLabel - 18hb	500.00	ROBIN - WhiteLabel - 18hb	500.00	ROBIN - WhiteLabel - 18hb	500.00	ROBIN - WhiteLabel - 18hb		ROBIN - WhiteLabel - 1hb	500.00	ROBIN - WhiteLabel - 18hb	500.00					
																	Bestari - Custom Automation	375.00	Inntech - 12th		Inntech - 12th		Inntech - 12th														
																	BINA - Custom Automation	562.50	ROBIN 1 - 	318.00	ROBIN 1 - 	318.00	ROBIN 1 - 	318.00	ROBIN 1 - 	318.00	ROBIN 1 - 		ROBIN 1 - 1	318.00	ROBIN 1 - 	318.00					
																	ROBIN - WhiteLabel SETUP	1,000.00	ROBIN 2 - 	318.00	ROBIN 2 - 	318.00	ROBIN 2 - 														
																	Inntech - 12th	318.00	ROBIN 3 - 	318.00	ROBIN 3 - 	318.00	ROBIN 3 - 														
																	ROBIN 1 - 	318.00																			
																	ROBIN 2 - 	318.00																			
																	ROBIN 3 - 	318.00	NSI - 27th	610.30	NSI - 24th	610.30	NSI - 24th														
																	ROBIN 4 - 	318.00	Dr Leaking - 25th	318.00	Dr Leaking - 25th	318.00	Dr Leaking - 25th	318.00	Dr Leaking - 25th	318.00	Dr Leaking - 25th		Dr Leaking - 25th		Dr Leaking - 25th						
																	ROBIN 5 - 	318.00	Adwa	100.00	Adwa																
																	NSI - 24th	610.30			FitPropella - 12		FitPropella - 12														
																	Dr Leaking - 25th	318.00	DC - DM AI 12 accounts		DC - DM AI 12 accounts - 11.4.2025	5,550.00	DC - DM AI 12 accounts - 11.4.2025														
																	Adwa	100.00	BINA - 11.3.2025	688.00	BINA - 11.4.2025	688.00	BINA - 11.4.2025	688.00	BINA - 11.4.2025	688.00	BINA - 11.4.2025	688.00	BINA - 11.4.2025								
																	FitPropella - 28th	688.00	All Spark - 25th	318.00	All Spark - 26	318.00	All Spark														
																	BINA - 11.2.2025	688.00	Gifted Media	318.00	Gifted Media - 30		Gifted Media														
																			DC - Ceramine	150.00	DC - Ceramine																
																					haider - x		jamu mami														
																							Tenggara														
																					pos system - x		Trading AI Indicator	954.00													
																					jamu mami	318.00															
																					proton - 5093 		kabinet	318.00													
																					kabinet				MSO network	318.00			MSO network - 2hb		MSO network - 2hb	318.00					
																					synergy reality		MTDC	1,000.00	MTDC	1,938.60	MTDC	1,938.60	MTDC	1,938.60	MTDC						
																					carsome consultant		WT Lim	68.00	WT Lim		WT Lim		WT Lim		WT Lim						
																							MY ANGKASA ADVISORY		MTDC Academy												
																																					
																					Tenggara - robin's	318.00	Mb biz empire		Callabio - 2 / 28	318.00	Callabio - 2 / 28	318.00	Callabio - 2 / 28	318.00	Callabio - 2 / 28	318.00					
																									MJBI - 23	50.00	MJBI - 23	50.00	MJBI - 23		MJBI - 23	50.00					
																									DC - Job Builder		DC - Job Builder	150.00	DC - Job Builder	150.00	DC - Job Builder	150.00					
																									DC - lilyng		DC - lilyng				APER Research Assitant 1st Phase	12,000.00					
																											Haiqal - 9	468.00	Haiqal - 9		My. HomeTown Media Website	4,500.00					
																							Callabio - 2 / 28	318.00			CNB - Admin AI 6 months	2,175.60			Akif	5,200.00					
																							MJBI - 23	50.00	DC - matt senam - 2hb	150.00	MyHomeTown Media	518.00	CNB - Admin AI 6 months		Alist - 5th	1,518.00					
																							DC - Job Builder	150.00			HK				Alist Database 	4,500.00					
																							DC - lilyng	150.00			Zaqhwan	50.00									
																											Allspark setup	740.00									
																																					
																																					
																													Luzea	718.00							
											Dc used car - 29	168.00																	HGSB								
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																											j										
																																					
											SOLUTDECK	238.00																									
																																					
																																					
																																					
																											DEPOSIT BACK	1,809.00									
											DM AI 3 Accounts - 27.11	450.00													Kaiwen	500.00	Kaiwen	500.00									
																																					
																																					
																																					
																																					
	TD-LABS - MONTHLY	3,000.00	TD-LABS - MONTHLY	3,000.00	TD-LABS - MONTHLY	3,000.00	TD-LABS - MONTHLY	3,000.00	TD-LABS - MONTHLY	3,000.00	TD-LABS - MONTHLY	3,000.00																									
	TOTAL INCOME (RM)	7,888.00	TOTAL INCOME (RM)	7,760.00	TOTAL INCOME (RM)	10,042.00	TOTAL INCOME (RM)	13,017.00	TOTAL INCOME (RM)	14,774.00	TOTAL INCOME (RM)	17,332.20	TOTAL INCOME (RM)	26,726.00	TOTAL INCOME (RM)	20,326.10	TOTAL INCOME (RM)	15,260.00	TOTAL INCOME (RM)	17,208.30	TOTAL INCOME (RM)	16,657.20	TOTAL INCOME (RM)	15,566.00	TOTAL INCOME (RM)	10,706.60	TOTAL INCOME (RM)	13,859.70	TOTAL INCOME (RM)	4,978.60	TOTAL INCOME (RM)	32,082.00					
